,districtcode,schoolyear,districtname,8th_math_percentmet,attendance,teacher_min_effective_percentage,Estimate Median household income in the past 12 months (in 2018 inflation-adjusted dollars),fundbalanceas%ofexpenditure,"Estimate Total Living in household with Supplemental Security Income (SSI), cash public assistance income, or Food Stamps/SNAP in the past 12 months"
250,29010,2015-2016,Alma Public Schools,23.8,95.54,0.0,37706,10.32,859
251,29010,2016-2017,Alma Public Schools,37.2,94.84,0.0,37706,13.63,859
252,29010,2017-2018,Alma Public Schools,44.4,93.70,0.61,37706,15.19,859
253,29010,2018-2019,Alma Public Schools,58.4,93.94,0.0,37706,17.15,859
254,29010,2020-2021,Alma Public Schools,36.8,92.90,0.0,37706,20.08,859
255,29050,2015-2016,Fulton Schools,26.5,97.04,8.93,52415,18.4,202
256,29050,2016-2017,Fulton Schools,33.3,99.28,0.0,52415,16.59,202
257,29050,2017-2018,Fulton Schools,16.2,90.83,0.0,52415,16.01,202
258,29050,2018-2019,Fulton Schools,41.2,92.48,2.82,52415,7.65,202
259,29050,2020-2021,Fulton Schools,23.1,98.83,2.13,52415,9.21,202
260,29100,2015-2016,St. Louis Public Schools,35.1,97.27,0.0,44958,13.61,384
261,29100,2016-2017,St. Louis Public Schools,17.3,96.82,0.0,44958,15.1,384
262,29100,2017-2018,St. Louis Public Schools,13.2,94.77,0.0,44958,12.68,384
263,29100,2018-2019,St. Louis Public Schools,28.6,94.86,1.54,44958,12.93,384
264,29100,2020-2021,St. Louis Public Schools,23.0,96.73,0.0,44958,20.21,384
265,30020,2015-2016,Hillsdale Community Schools,27.6,96.31,1.19,44124,7.6,627
266,30020,2016-2017,Hillsdale Community Schools,20.8,96.17,3.37,44124,11.08,627
267,30020,2017-2018,Hillsdale Community Schools,20.2,93.96,1.08,44124,18.09,627
268,30020,2018-2019,Hillsdale Community Schools,29.5,94.31,3.45,44124,19.75,627
269,30020,2020-2021,Hillsdale Community Schools,14.9,91.99,2.47,44124,29.93,627
270,30030,2015-2016,Jonesville Community Schools,19.2,94.24,0.0,51929,19.85,313
271,30030,2016-2017,Jonesville Community Schools,15.3,94.20,1.08,51929,16.46,313
272,30030,2017-2018,Jonesville Community Schools,21.2,94.19,1.08,51929,14.0,313
273,30030,2018-2019,Jonesville Community Schools,32.7,92.67,1.08,51929,15.79,313
274,30030,2020-2021,Jonesville Community Schools,30.9,88.89,0.0,51929,24.69,313
275,3010,2015-2016,Plainwell Community Schools,48.5,93.08,1.32,63275,18.75,942
276,3010,2016-2017,Plainwell Community Schools,38.8,94.96,0.0,63275,18.62,942
277,3010,2017-2018,Plainwell Community Schools,37.2,94.46,1.81,63275,18.33,942
278,3010,2018-2019,Plainwell Community Schools,54.0,95.64,0.0,63275,17.86,942
279,3010,2020-2021,Plainwell Community Schools,31.2,93.44,0.0,63275,21.82,942
280,3020,2015-2016,Otsego Public Schools,44.6,95.72,0.0,57440,13.44,451
281,3020,2016-2017,Otsego Public Schools,48.8,95.33,0.0,57440,20.23,451
282,3020,2017-2018,Otsego Public Schools,47.1,94.06,0.0,57440,18.54,451
283,3020,2018-2019,Otsego Public Schools,44.1,94.59,0.0,57440,18.24,451
284,3020,2020-2021,Otsego Public Schools,32.7,99.07,0.47,57440,17.49,451
285,3030,2015-2016,Allegan Public Schools,20.1,96.93,0.0,54756,10.05,753
286,3030,2016-2017,Allegan Public Schools,38.4,96.13,0.0,54756,11.47,753
287,3030,2017-2018,Allegan Public Schools,23.0,65.48,1.97,54756,10.92,753
288,3030,2018-2019,Allegan Public Schools,38.2,92.70,0.65,54756,9.81,753
289,3030,2020-2021,Allegan Public Schools,29.0,92.25,0.0,54756,14.18,753
290,3040,2015-2016,Wayland Union Schools,33.5,95.58,0.0,65408,10.6,494
291,3040,2016-2017,Wayland Union Schools,42.7,95.09,0.56,65408,12.05,494
292,3040,2017-2018,Wayland Union Schools,51.6,93.83,0.0,65408,14.96,494
293,3040,2018-2019,Wayland Union Schools,54.1,94.10,0.0,65408,16.26,494
294,3040,2020-2021,Wayland Union Schools,40.2,97.45,0.55,65408,20.24,494
295,3050,2015-2016,Fennville Public Schools,14.6,95.50,3.57,58518,21.69,287
296,3050,2016-2017,Fennville Public Schools,23.1,88.50,0.0,58518,19.99,287
297,3050,2017-2018,Fennville Public Schools,17.0,51.60,0.0,58518,18.93,287
298,3050,2018-2019,Fennville Public Schools,30.3,93.52,1.19,58518,17.85,287
299,3050,2020-2021,Fennville Public Schools,20.4,89.80,0.96,58518,21.42,287
